epoch,train_loss
1,0.2615772621309171
2,0.1995106424749549
3,0.1804693558258437
4,0.17505353514125438
5,0.1564895358811962
6,0.14779346639829907
7,0.14820085868972246
8,0.1417554759120192
9,0.15812962247781415
10,0.13516226109585475
11,0.1425631005276259
12,0.13489983962655394
13,0.12695602316388993
14,0.13131000953497457
15,0.12118830278393675
16,0.1273800133284731
17,0.12295758752712135
18,0.11937453283271829
19,0.11732490841156798
20,0.11127409316558655
21,0.11922087940728404
22,0.10243243527664839
23,0.10727893330075376
24,0.11101482555148054
25,0.11145089636938493
26,0.1054573655128479
27,0.10242897016632427
28,0.1043420096889871
29,0.10396173756182846
30,0.10427467784554255
31,0.09966989822400724
32,0.10204317892489374
33,0.08956874558915857
34,0.09135835743483788
35,0.09052181779279735
36,0.08775638127343251
37,0.09252477301885195
38,0.08000353194488202
39,0.08722169502877472
40,0.08057100364500708
