epoch,train_loss,val_dice,val_miou,val_miou_fg,iou_background,iou_monolayer,iou_fewlayer,iou_multilayer,lr,time_s
60,0.138143,0.713641,0.900166,0.871598,0.985868,0.859467,0.778391,0.976936,1.00e-08,92.6
61,0.166518,0.712086,0.896225,0.866399,0.985705,0.851861,0.770280,0.977055,1.00e-08,92.1
62,0.160028,0.713132,0.903349,0.876144,0.984965,0.862429,0.789092,0.976910,1.00e-08,92.5
63,0.178991,0.696303,0.867375,0.828801,0.983097,0.790799,0.718208,0.977398,1.00e-08,92.6
64,0.150889,0.710134,0.898762,0.869757,0.985777,0.861455,0.771961,0.975854,1.00e-08,92.6
65,0.154409,0.708597,0.890748,0.859202,0.985386,0.841159,0.759055,0.977393,1.00e-08,92.2
66,0.165596,0.718171,0.902763,0.874921,0.986287,0.865845,0.782102,0.976816,1.00e-08,92.3
67,0.176994,0.714836,0.899995,0.871302,0.986075,0.858272,0.778330,0.977303,1.00e-08,92.6
68,0.139069,0.713203,0.899760,0.871073,0.985822,0.860643,0.775853,0.976723,1.00e-08,92.3
69,0.194838,0.709411,0.895982,0.866165,0.985434,0.850159,0.771005,0.977330,1.00e-08,92.4
70,0.146404,0.717640,0.900619,0.872156,0.986006,0.864461,0.775055,0.976953,1.00e-08,92.7
71,0.171010,0.719790,0.898597,0.869408,0.986162,0.857831,0.772808,0.977586,1.00e-08,92.4
72,0.150842,0.719824,0.907157,0.880732,0.986431,0.874896,0.790457,0.976844,1.00e-08,92.4
73,0.151501,0.714292,0.905434,0.878806,0.985319,0.864854,0.794620,0.976943,1.00e-08,92.1
74,0.154708,0.720491,0.909602,0.884085,0.986153,0.878148,0.797349,0.976757,1.00e-08,92.5
75,0.166132,0.720550,0.904967,0.878506,0.984349,0.870255,0.790358,0.974906,1.00e-08,92.6
76,0.140434,0.708501,0.898984,0.870180,0.985394,0.857395,0.776638,0.976508,1.00e-08,92.7
77,0.148879,0.711475,0.888036,0.855563,0.985458,0.837776,0.751821,0.977091,1.00e-08,92.6
78,0.150153,0.712273,0.902920,0.875285,0.985824,0.864334,0.784779,0.976743,1.00e-08,92.7
79,0.174252,0.742319,0.911697,0.886707,0.986665,0.883318,0.799910,0.976894,1.00e-08,92.7
80,0.159907,0.710722,0.906972,0.880798,0.985494,0.874034,0.792342,0.976019,1.00e-08,92.3
81,0.172268,0.719158,0.909208,0.883479,0.986394,0.878140,0.795537,0.976762,1.00e-08,92.3
82,0.161159,0.703938,0.893913,0.863528,0.985070,0.845295,0.768347,0.976940,1.00e-08,92.8
83,0.157613,0.699370,0.899173,0.870963,0.983801,0.849794,0.786381,0.976716,1.00e-08,92.3
84,0.177146,0.722230,0.903105,0.876099,0.984120,0.860343,0.791722,0.976233,1.00e-08,92.6
85,0.171912,0.722055,0.901787,0.873439,0.986833,0.866606,0.776369,0.977341,1.00e-08,92.1
86,0.183879,0.712102,0.904308,0.877154,0.985773,0.870517,0.784514,0.976429,1.00e-08,92.6
87,0.146497,0.718620,0.902021,0.873950,0.986231,0.866354,0.778730,0.976768,1.00e-08,92.3
88,0.133781,0.734118,0.907186,0.881010,0.985713,0.875035,0.791622,0.976374,1.00e-08,92.3
89,0.157784,0.712299,0.887023,0.854018,0.986035,0.838684,0.746199,0.977172,1.00e-08,92.4
90,0.163413,0.710438,0.887781,0.855123,0.985757,0.837209,0.750706,0.977454,1.00e-08,92.3
91,0.163206,0.716295,0.899050,0.870119,0.985844,0.856979,0.776069,0.977308,1.00e-08,92.5
92,0.165301,0.730087,0.908330,0.882551,0.985667,0.875915,0.795312,0.976425,1.00e-08,92.5
93,0.154150,0.746356,0.913503,0.889177,0.986480,0.891755,0.799728,0.976048,1.00e-08,92.4
94,0.143470,0.702199,0.895245,0.865538,0.984365,0.845231,0.774534,0.976849,1.00e-08,92.5
95,0.157768,0.708545,0.895683,0.865593,0.985952,0.853053,0.766979,0.976747,1.00e-08,92.5
96,0.158163,0.709558,0.898075,0.868758,0.986025,0.858374,0.771335,0.976565,1.00e-08,92.6
97,0.154288,0.722406,0.896537,0.866391,0.986977,0.858444,0.763231,0.977497,1.00e-08,92.5
98,0.149606,0.714400,0.904046,0.876628,0.986301,0.874688,0.779621,0.975573,1.00e-08,92.5
99,0.141237,0.718826,0.896152,0.866091,0.986334,0.856165,0.764983,0.977125,1.00e-08,92.4
100,0.140623,0.723178,0.909097,0.883067,0.987186,0.878758,0.793086,0.977356,1.00e-08,92.5
