epoch,train_loss
1,0.488758
2,0.353129
3,0.385671
4,0.370262
5,0.280753
6,0.272526
7,0.245316
8,0.263418
9,0.264093
10,0.278497
11,0.223797
12,0.220206
13,0.236562
14,0.195827
15,0.196786
16,0.199179
17,0.189003
18,0.189466
19,0.159978
20,0.180505
21,0.275247
22,0.154346
23,0.210774
24,0.166885
25,0.175051
26,0.168123
27,0.160346
28,0.183246
29,0.172208
30,0.157714
31,0.168378
32,0.183049
33,0.163654
34,0.190122
35,0.157963
36,0.17508
37,0.165217
38,0.15006
39,0.145572
40,0.163863
41,0.160089
42,0.159122
43,0.156703
44,0.142384
45,0.155068
46,0.167238
47,0.151061
48,0.166909
49,0.146376
50,0.15098
51,0.161009
52,0.169662
53,0.156825
54,0.162437
55,0.140433
56,0.156354
57,0.151376
58,0.193406
59,0.189827
60,0.138143
61,0.166518
62,0.160028
63,0.178991
64,0.150889
65,0.154409
66,0.165596
67,0.176994
68,0.139069
69,0.194838
70,0.146404
71,0.17101
72,0.150842
73,0.151501
74,0.154708
75,0.166132
76,0.140434
77,0.148879
78,0.150153
79,0.174252
80,0.159907
81,0.172268
82,0.161159
83,0.157613
84,0.177146
85,0.171912
86,0.183879
87,0.146497
88,0.133781
89,0.157784
90,0.163413
91,0.163206
92,0.165301
93,0.15415
94,0.14347
95,0.157768
96,0.158163
97,0.154288
98,0.149606
99,0.141237
100,0.140623
